leiden,ADA,ADE,ADF,ADL,AFD,AIA,AIB,AIM,AIN,AIY,AIZ,ALA,ALM,ALN,AQR,AS,ASEL,ASER,ASG,ASH,ASI,ASJ,ASK,AUA,AVA,AVB,AVD,AVE,AVF,AVG,AVH,AVJ,AVK,AVL,AVM,AWA,AWB,AWC_OFF,AWC_ON,BAG,BDU,CAN,CEP,DA,DA9,DB,DB01,DVA,DVB,DVC,FLP,HSN,I1,I2,I3,I4,I5,I6,IL1,IL2_DV,IL2_LR,LUA,M1,M2,M3,M4,M5,MC,MI,NSM,OLL,OLQ,PDA,PDB,PDE,PHA,PHB,PHC,PLM,PLN,PQR,PVC,PVD,PVM,PVN,PVP,PVQ,PVR,PVT,PVW,RIA,RIB,RIC,RID,RIF,RIG,RIH,RIM,RIP,RIR,RIS,RIV,RIV_stressed,RMD_DV,RMD_LR,RME_DV,RME_LR,RMF,RMG,RMH,SAA,SAB,SDQ,SIA,SIB,SMB,SMD,SMD_stressed,URA,URB,URX,URY,VA,VA12,VB,VB01,VB02,VC,VC_4_5,VD_DD
0_0,0.0116,0.0008,0.002,0.0092,0.002,0.0016,0.012,0.0048,0.0008,0.0032,0.0428,0.0072,0.0056,0.0,0.0008,0.004,0.0004,0.0052,0.0124,0.006,0.004,0.0072,0.0404,0.0116,0.0096,0.0104,0.004,0.0244,0.0036,0.004,0.0016,0.004,0.0068,0.0124,0.0016,0.0052,0.004,0.008,0.004,0.0028,0.0036,0.004,0.006,0.0032,0.0008,0.0028,0.004,0.0004,0.0084,0.0016,0.0012,0.0092,0.004,0.002,0.0008,0.01,0.0096,0.0024,0.0048,0.0008,0.0004,0.0052,0.0008,0.0064,0.0024,0.0012,0.028,0.0168,0.0008,0.0012,0.0,0.0024,0.0008,0.0004,0.002,0.0024,0.0044,0.0056,0.0016,0.002,0.0008,0.0068,0.0004,0.0008,0.0008,0.0144,0.0092,0.0016,0.0048,0.006,0.004,0.0068,0.0056,0.0048,0.0276,0.0196,0.008,0.004,0.0052,0.014,0.0032,0.0048,0.014,0.0396,0.0264,0.0012,0.0028,0.0268,0.0008,0.0032,0.0084,0.0016,0.0028,0.0308,0.0292,0.0076,0.048,0.012,0.01,0.0092,0.002,0.004,0.0056,0.0,0.0112,0.0156,0.0528,0.0052,0.0,0.0096
0_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0015564202334630351,0.0,0.0,0.0,0.9891050583657588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031128404669260703,0.0,0.0,0.0,0.0007782101167315176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007782101167315176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015564202334630351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007782101167315176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015564202334630351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007782101167315176
0_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009099181073703367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004549590536851683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009099181073703367,0.0,0.0,0.0009099181073703367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009099181073703367,0.0,0.0,0.0,0.6651501364877161,0.01910828025477707,0.028207461328480437,0.0009099181073703367,0.0,0.0,0.0,0.0,0.0,0.0009099181073703367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009099181073703367,0.0,0.0,0.0,0.0,0.003639672429481347,0.0,0.0,0.0,0.0,0.0,0.0,0.0009099181073703367,0.0,0.0,0.0,0.0,0.0,0.0009099181073703367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009099181073703367,0.0,0.0,0.0,0.0,0.0,0.00272975432211101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009099181073703367,0.0,0.00818926296633303,0.0,0.0,0.0009099181073703367,0.0,0.0009099181073703367,0.0,0.0,0.0,0.0,0.0,0.20382165605095542,0.034576888080072796,0.017288444040036398,0.0,0.0,0.0,0.0009099181073703367,0.0
0_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002881844380403458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009606147934678194,0.0,0.0,0.0,0.0009606147934678194,0.0,0.0009606147934678194,0.0,0.0,0.0,0.0,0.0,0.0009606147934678194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019212295869356388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009606147934678194,0.0,0.0,0.0,0.0,0.0038424591738712775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009606147934678194,0.0,0.0,0.0009606147934678194,0.0,0.0009606147934678194,0.0,0.0,0.0,0.0,0.0,0.9779058597502401,0.0,0.0009606147934678194,0.0,0.0,0.0,0.0,0.0009606147934678194,0.0,0.0,0.0,0.0,0.0,0.0,0.0009606147934678194,0.0,0.002881844380403458
0_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002421307506053269,0.0036319612590799033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002421307506053269,0.0012106537530266344,0.0012106537530266344,0.0,0.0,0.002421307506053269,0.0,0.0,0.0012106537530266344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012106537530266344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036319612590799033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006053268765133172,0.002421307506053269,0.0,0.002421307506053269,0.0,0.0012106537530266344,0.0,0.0,0.0,0.0,0.002421307506053269,0.9394673123486683,0.007263922518159807,0.00847457627118644,0.0,0.0,0.0,0.0,0.002421307506053269,0.0,0.0,0.0,0.0,0.0,0.007263922518159807,0.0,0.0,0.0012106537530266344
0_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037313432835820895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012437810945273632,0.0,0.0,0.0012437810945273632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037313432835820895,0.0,0.012437810945273632,0.0024875621890547263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012437810945273632,0.0,0.0,0.0012437810945273632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012437810945273632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012437810945273632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006218905472636816,0.0,0.0,0.0,0.0,0.0,0.0,0.0012437810945273632,0.007462686567164179,0.0,0.0024875621890547263,0.0,0.0012437810945273632,0.0012437810945273632,0.0,0.0012437810945273632,0.0,0.0,0.0,0.39427860696517414,0.0,0.0845771144278607,0.0037313432835820895,0.4614427860696517,0.0024875621890547263,0.0,0.0024875621890547263
0_6,0.0,0.0,0.0,0.0,0.0012610340479192938,0.0,0.0,0.0012610340479192938,0.0,0.0,0.0037831021437578815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012610340479192938,0.0,0.0037831021437578815,0.0,0.005044136191677175,0.0,0.0012610340479192938,0.0,0.0,0.0,0.0012610340479192938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012610340479192938,0.0012610340479192938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025220680958385876,0.0,0.0025220680958385876,0.0,0.0,0.0,0.0,0.0,0.005044136191677175,0.19672131147540983,0.06431273644388398,0.0,0.0,0.0037831021437578815,0.0,0.0012610340479192938,0.0037831021437578815,0.0,0.0,0.04791929382093316,0.09205548549810845,0.0012610340479192938,0.034047919293820936,0.4842370744010088,0.0,0.0,0.0,0.0,0.0,0.0,0.011349306431273645,0.007566204287515763,0.0201765447667087,0.0,0.0,0.0
0_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0012610340479192938,0.0012610340479192938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005044136191677175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012610340479192938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025220680958385876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012610340479192938,0.18032786885245902,0.0025220680958385876,0.33669609079445145,0.08953341740226986,0.0,0.0012610340479192938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005044136191677175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012610340479192938,0.0012610340479192938,0.0,0.0,0.0012610340479192938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025220680958385876,0.0012610340479192938,0.0,0.0,0.0,0.0,0.0,0.0012610340479192938,0.006305170239596469,0.0,0.0,0.0012610340479192938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06557377049180328,0.0,0.1677175283732661,0.0605296343001261,0.0605296343001261,0.0,0.0,0.0012610340479192938
0_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013531799729364006,0.0013531799729364006,0.0,0.0013531799729364006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013531799729364006,0.0013531799729364006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013531799729364006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013531799729364006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013531799729364006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040595399188092015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013531799729364006,0.0,0.0,0.0013531799729364006,0.0,0.0,0.0,0.0013531799729364006,0.0,0.0,0.0040595399188092015,0.0013531799729364006,0.0013531799729364006,0.0,0.0,0.0027063599458728013,0.0,0.0,0.0,0.0,0.0,0.0013531799729364006,0.0013531799729364006,0.952638700947226,0.0,0.0013531799729364006,0.0,0.0,0.0,0.0,0.0013531799729364006,0.0,0.0,0.0013531799729364006,0.010825439783491205,0.0,0.0,0.0013531799729364006
0_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9888423988842399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002789400278940028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002789400278940028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041841004184100415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001394700139470014,0.0,0.0,0.0
0_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001519756838905775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001519756838905775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001519756838905775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9878419452887538,0.004559270516717325,0.0,0.001519756838905775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001519756838905775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995334370139969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015552099533437014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015552099533437014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015552099533437014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0016,0.0,0.0016,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0416,0.0,0.0016,0.0,0.0,0.0,0.0016,0.0,0.008,0.0016,0.0096,0.0032,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0384,0.0,0.0112,0.0112,0.8208,0.0,0.0,0.0
0_13,0.0,0.0,0.0,0.0,0.0,0.001607717041800643,0.001607717041800643,0.0,0.0,0.0,0.001607717041800643,0.0,0.0,0.0,0.001607717041800643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001607717041800643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001607717041800643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001607717041800643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001607717041800643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003215434083601286,0.00482315112540193,0.0,0.0,0.0,0.001607717041800643,0.0,0.0,0.0,0.0,0.0,0.006430868167202572,0.9533762057877814,0.001607717041800643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01607717041800643,0.0,0.0,0.0
0_14,0.0,0.0,0.0,0.0,0.0,0.0017605633802816902,0.0,0.0,0.0,0.0,0.9788732394366197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035211267605633804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017605633802816902,0.0,0.0,0.0,0.0017605633802816902,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017605633802816902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035211267605633804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018450184501845018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018450184501845018,0.0,0.0,0.0,0.0,0.0,0.0,0.0018450184501845018,0.0,0.0,0.0,0.0,0.0,0.0018450184501845018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018450184501845018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018450184501845018,0.0,0.0,0.0,0.0,0.0018450184501845018,0.9833948339483395,0.0,0.0,0.0,0.0018450184501845018,0.0,0.0,0.0,0.0018450184501845018,0.0,0.0,0.0
0_16,0.003838771593090211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9788867562380038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003838771593090211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003838771593090211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019193857965451055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019193857965451055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019193857965451055,0.0,0.0019193857965451055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019193857965451055,0.0,0.0,0.0
0_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.002,0.0,0.0,0.0
0_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004576659038901602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059496567505720827,0.8993135011441648,0.004576659038901602,0.002288329519450801,0.0,0.0,0.002288329519450801,0.0,0.0,0.002288329519450801,0.0,0.0,0.006864988558352402,0.0,0.0,0.002288329519450801,0.004576659038901602,0.0,0.0,0.0,0.0,0.0,0.0,0.009153318077803204,0.0,0.002288329519450801,0.0,0.0,0.0
